Параметр: в таблицах,Параметр: в поиске или карточке,Тип,количество вариантов?,Группа (для фасетов),Формат (фасет),Есть ли поиск  ,сколько корпусов,основной,исторический: церковнославянский,исторический: древнерусский,исторический: старорусский,исторический: берестяные грамоты,обучающий,газетный (regional),газетный (paper),параллельный,диалектный,акцентологический (main),акцентологический (стихи),поэтический,устный,мультипарк,МУРКО,В каких корпусах есть,Особенности
param,name,type,,group,,issearch,,main,orthlib,oldrus,midrus,birchbank,school,regional,paper,para,dialect,accent,,poetic,spoken,multiparc,murco,,
formula,Формула,выбор из списка,,поэтический,чекбокс,да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,поэтический,
extra,Дополнительные параметры,выбор из списка,,поэтический,чекбокс,да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,поэтический,
verses,Число строк,выбор из списка,,поэтический,чекбокс,да,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,поэтический,
sphere,Сфера функционирования,выбор из списка,,разновидности текста,чекбокс,да,10,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,"общий, газетный (regional), обучающий, параллельный, акцентологический, поэтический, устный, МУРКО, мультипарк (почти все)","выбор из списка, проверить, насколько разнятся сферы у разных корпусов"
topic,Тематика текста,выбор из списка,,разновидности текста,чекбокс,не всегда,10,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,"общий, газетный, диалектный, обучающий, акцентологический, устный, МУРКО, мультипарк","Есть поиск в общем, газетном, обучающем, диалектном, устном, МУРКО; нет поиска в мультипарке, акцентологическом (main); пустые значения в акцентологическом (stihi). Тематики в разных корпусах разнятся."
chronotop,Хронотоп,выбор из списка,,разновидности текста,чекбокс,да,10,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,"общий, газетный, диалектный, обучающий, акцентологический, устный, МУРКО, мультипарк","Есть поиск в общем, газетном, обучающем, диалектном, акцентологическом (main), устном, МУРКО, мультипарке; нет в акцентологическом (main); пустые значения в акцентологическом (stihi).  "
style,Стиль,выбор из списка,,разновидности текста,чекбокс,нет,9,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,"общий, газетный, обучающий, акцентологический, устный, МУРКО, мультипарк","нет поиска, в акцентологическом (stihi) пустые значения"
genre_fi,Жанр художественной литературы,выбор из списка,,разновидности текста,чекбокс,да,8,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,"общий, обучающий, акцентологический, устный, МУРКО, поэтический, мультипарк","в акцентологическом, устном, мультипарке, МУРКО практически не заполнен -- нужен ли там?"
type,Тип текста,выбор из списка,,разновидности текста,чекбокс,да,7,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,"общий, газетный (regional), обучающий, акцентологический (main), устный, МУРКО, мультипарк","выбор из списка, проверить, насколько разнятся типы у разных корпусоов"
genre,Жанр текста,выбор из списка,,разновидности текста,чекбокс,да,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"старорусский, церковнославянский, берестяные грамоты, диалектный","выбор из списка, проверить, насколько разнятся жанры у разных корпусов"
translation,Оригинальность,выбор из списка,,разновидности текста,чекбокс,да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,церковнославянский,
genre_oral_nonfolk,Жанр: устные нефольклорные тексты,выбор из списка,,разновидности текста,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
genre_written_nonfolk,-,-,,разновидности текста,чекбокс,нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,всё None
genre_folk,Жанр: устные фольклорные тексты,выбор из списка,,разновидности текста,чекбокс,да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,диалектный,
path,-,строка,,технические,нет,нет,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,все,-
number_lang,-,число,,технические,нет,нет,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,параллельный (multi),
wordcount,Словоформ,число,,технические,нет,нет,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,газетный (paper),
summary,Содержание,Строка,,технические,нет,нет,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,берестяные грамоты,
subcorpus,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"не для фасетов, внутренняя информация"
subcorp ,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,в берестяных вместо subcorpus
comments,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"не для фасетов, внутренняя информация"
editor_id,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"не для фасетов, внутренняя информация"
tagging,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"не для фасетов, внутренняя информация"
modified,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"только в обучающем, неясен смысл"
version,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"только в обучающем, неясен смысл"
md5,,,,технические,нет,нет,0,,,,,,,,,,,,,,,,,,"только в обучающем, неясен смысл"
comment ,Комментарий,строка,,технические,нет,нет,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,древнерусский,
language ,Язык оригинала,выбор из списка,,язык,чекбокс,да,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"газетный (regional), поэтический",
lang ,Язык,выбор из списка,,язык,чекбокс,да,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"берестяные грамоты, параллельный","выбор из списка, проверить разницу у разных корпусов; проверить разницу у подкорпусов para, multi"
language_variety,Разновидность языка,Строка,,язык,чекбокс,да,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,старорусский ,"Возможно, слить со сферой функционирования? (там бытовой, гибридный и т.п.)"
